shelter_name,shelter_location,is_indoor,capacity,nearest_aqi_station,nearest_aqi_county,nearest_aqi,nearest_aqi_level,distance_to_station_m,risk_label,disaster_types,shelter_lat,shelter_lon
協和國小（學生活動中心、操場）,臺中市西屯區,True,1732,台中,台中市,45,良好,5963.784522260784,Safe,"水災,震災",24.169862,120.620071
四維國民小學（活動中心）,臺中市北屯區,True,304,台中,台中市,45,良好,3381.984817551162,Safe,"水災,震災,土石流",24.170777,120.695314
何源里活動中心,臺中市西屯區,True,150,台中,台中市,45,良好,2695.247632313226,Safe,"水災,震災",24.170797,120.665542
臺中市北區賴興活動中心,臺中市北區,True,400,台中,台中市,45,良好,2688.2538276852943,Safe,"水災,震災",24.1718,120.6757
上安國小（活動中心、操場）,臺中市西屯區,True,889,台中,台中市,45,良好,4426.440146891141,Safe,"水災,震災",24.172074,120.639105
東光國民小學（活動中心、操場）,臺中市北屯區,True,1631,台中,台中市,45,良好,3945.685235003194,Safe,"水災,震災,土石流",24.17211,120.701827
基督長老教會,南投縣仁愛鄉,True,100,台中,台中市,45,良好,53108.64819071328,Safe,"水災,土石流,海嘯",24.172426,121.196369
力行活動中心,南投縣仁愛鄉,True,100,台中,台中市,45,良好,53108.64819071328,Safe,"水災,土石流,海嘯",24.172426,121.196369
大洋部落真耶穌教會,南投縣仁愛鄉,True,100,台中,台中市,45,良好,53108.64819071328,Safe,"水災,震災,土石流",24.172426,121.196369
文心國民小學（禮堂、操場）,臺中市北屯區,True,950,台中,台中市,45,良好,2952.752573937241,Safe,"水災,震災,土石流",24.17296,120.682577
崇德國民中學（崇德館、操場）,臺中市北屯區,True,1566,台中,台中市,45,良好,2952.752573937241,Safe,"水災,震災,土石流",24.17296,120.682577
上石國小（活動中心、操場）,臺中市西屯區,True,1885,台中,台中市,45,良好,4219.560341225863,Safe,"水災,震災",24.173681,120.643286
中達里育德里邱厝里聯合活動中心,臺中市北區,True,100,台中,台中市,45,良好,2896.408270687398,Safe,"水災,震災,土石流",24.173738,120.674392
