Asset,Type,Location,W4_Terrain_Risk,W7_Centrality_Rank,Barrier_Lake_Hit,Landslide_Hit,Debris_Flow_Hit,Notes
116,W3 Shelter,302923.00959655177,high,-,N,N,N,Hualien City area
117,W3 Shelter,306409.0831830125,medium,-,N,N,N,Hualien City area
118,W3 Shelter,304186.95561039296,medium,-,N,N,N,Hualien City area
119,W3 Shelter,301513.5956254703,high,-,N,N,N,Hualien City area
120,W3 Shelter,308837.2711679498,low,-,N,N,N,Hualien City area
121,W3 Shelter,305472.2508451945,low,-,N,N,N,Hualien City area
122,W3 Shelter,301583.8342227185,high,-,N,N,N,Hualien City area
123,W3 Shelter,310742.7687566141,low,-,N,N,N,Hualien City area
124,W3 Shelter,306111.21022598166,low,-,N,N,N,Hualien City area
125,W3 Shelter,308593.7440496553,low,-,N,N,N,Hualien City area
126,W3 Shelter,307840.47894341487,low,-,N,N,N,Hualien City area
127,W3 Shelter,309804.2419321524,low,-,N,N,N,Hualien City area
128,W3 Shelter,300315.06295355764,high,-,N,N,N,Hualien City area
129,W3 Shelter,310583.505101579,high,-,N,N,N,Hualien City area
130,W3 Shelter,310297.33342560515,high,-,N,N,N,Hualien City area
131,W3 Shelter,310734.7575056046,high,-,N,N,N,Hualien City area
132,W3 Shelter,307233.8381564572,low,-,N,N,N,Hualien City area
133,W3 Shelter,308993.76670438534,medium,-,N,N,N,Hualien City area
134,W3 Shelter,311028.5243144549,medium,-,N,N,N,Hualien City area
135,W3 Shelter,310692.6444747213,high,-,N,N,N,Hualien City area
136,W3 Shelter,307272.5569393298,low,-,N,N,N,Hualien City area
137,W3 Shelter,311648.498043181,medium,-,N,N,N,Hualien City area
138,W3 Shelter,307425.11702983244,low,-,N,N,N,Hualien City area
139,W3 Shelter,308432.4173806327,medium,-,N,N,N,Hualien City area
140,W3 Shelter,309724.1945355974,high,-,N,N,N,Hualien City area
141,W3 Shelter,309347.57423530205,high,-,N,N,N,Hualien City area
142,W3 Shelter,310914.7463592211,medium,-,N,N,N,Hualien City area
143,W3 Shelter,310426.23016881704,medium,-,N,N,N,Hualien City area
144,W3 Shelter,309702.7816509806,high,-,N,N,N,Hualien City area
145,W3 Shelter,309631.409648486,high,-,N,N,N,Hualien City area
146,W3 Shelter,312501.11646667315,high,-,N,N,N,Hualien City area
147,W3 Shelter,310587.74361901823,medium,-,N,N,N,Hualien City area
148,W3 Shelter,311350.72366278444,high,-,N,N,N,Hualien City area
149,W3 Shelter,311746.1173243366,high,-,N,N,N,Hualien City area
150,W3 Shelter,307309.23721932294,high,-,N,N,N,Hualien City area
151,W3 Shelter,310951.68752803485,medium,-,N,N,N,Hualien City area
152,W3 Shelter,311306.46848761535,medium,-,N,N,N,Hualien City area
153,W3 Shelter,310512.53837737814,low,-,N,N,N,Hualien City area
154,W3 Shelter,312648.584356254,high,-,N,N,N,Hualien City area
155,W3 Shelter,308313.72140980465,medium,-,N,N,N,Hualien City area
156,W3 Shelter,311761.74687167053,high,-,N,N,N,Hualien City area
157,W3 Shelter,313643.7628775192,medium,-,N,N,N,Hualien City area
158,W3 Shelter,307375.54933881585,low,-,N,N,N,Hualien City area
159,W3 Shelter,310508.79908911,low,-,N,N,N,Hualien City area
160,W3 Shelter,308462.7387664999,medium,-,N,N,N,Hualien City area
161,W3 Shelter,313865.14869428816,medium,-,N,N,N,Hualien City area
162,W3 Shelter,310955.1299804578,low,-,N,N,N,Hualien City area
163,W3 Shelter,313071.0804059317,high,-,N,N,N,Hualien City area
164,W3 Shelter,308339.4247329008,high,-,N,N,N,Hualien City area
165,W3 Shelter,310190.86503145884,medium,-,N,N,N,Hualien City area
166,W3 Shelter,312896.6529663455,high,-,N,N,N,Hualien City area
167,W3 Shelter,314198.7323956301,high,-,N,N,N,Hualien City area
