asset,type,location,W4_terrain_risk,W7_centrality_rank,lake_hit,landslide_hit,debris_hit,notes
明義國小,shelter,"(357867, 2652606)",high,N/A,N,N,N,W3 Hualien City shelter
花蓮市公所,shelter,"(358267, 2652945)",high,N/A,N,N,N,W3 Hualien City shelter
慶豐活動中心,shelter,"(353831, 2653034)",high,N/A,N,N,N,W3 Hualien City shelter
國立花蓮農業職業學校,shelter,"(357475, 2653119)",medium,N/A,N,N,N,W3 Hualien City shelter
"慈濟大學附設國民中學,小學",shelter,"(355008, 2654628)",medium,N/A,N,N,N,W3 Hualien City shelter
美崙國中,shelter,"(360411, 2654663)",medium,N/A,N,N,N,W3 Hualien City shelter
自強國中,shelter,"(357501, 2654703)",low,N/A,N,N,N,W3 Hualien City shelter
花蓮高工,shelter,"(359618, 2654770)",high,N/A,N,N,N,W3 Hualien City shelter
慈濟大學人文社會學院,shelter,"(354889, 2654928)",high,N/A,N,N,N,W3 Hualien City shelter
私立四維高級中學,shelter,"(356741, 2654987)",medium,N/A,N,N,N,W3 Hualien City shelter
行政院國軍退除役官兵輔導委員會花,shelter,"(359448, 2655104)",high,N/A,N,N,N,W3 Hualien City shelter
民孝社區活動中心,shelter,"(360751, 2655147)",high,N/A,N,N,N,W3 Hualien City shelter
衛生福利部東區老人之家養護院區,shelter,"(359043, 2655308)",high,N/A,N,N,N,W3 Hualien City shelter
水源收容所,shelter,"(352920, 2655402)",very_high,N/A,N,N,N,W3 Hualien City shelter
大陳二村活動中心,shelter,"(359308, 2655349)",medium,N/A,N,N,N,W3 Hualien City shelter
花蓮縣立體育場,shelter,"(355768, 2655396)",high,N/A,N,N,N,W3 Hualien City shelter
中華國小,shelter,"(358298, 2654041)",very_high,N/A,N,N,N,W3 Hualien City shelter
鑄強國小,shelter,"(360181, 2654111)",medium,N/A,N,N,N,W3 Hualien City shelter
太昌活動中心,shelter,"(353915, 2654263)",low,N/A,N,N,N,W3 Hualien City shelter
明廉國小,shelter,"(357050, 2654386)",low,N/A,N,N,N,W3 Hualien City shelter
佳林社區活動中心,shelter,"(357852, 2657268)",high,N/A,N,N,N,W3 Hualien City shelter
國福社區活動中心,shelter,"(355765, 2656104)",high,N/A,N,N,N,W3 Hualien City shelter
花蓮港天宮,shelter,"(356301, 2655789)",high,N/A,N,N,N,W3 Hualien City shelter
嘉新社區活動中心,shelter,"(358852, 2655531)",high,N/A,N,N,N,W3 Hualien City shelter
國軍805醫院,shelter,"(358374, 2657629)",high,N/A,N,N,N,W3 Hualien City shelter
七星潭社區活動中心,shelter,"(360656, 2657905)",high,N/A,N,N,N,W3 Hualien City shelter
基督教芥菜種會,shelter,"(358256, 2657973)",high,N/A,N,N,N,W3 Hualien City shelter
